rawSpeed,ESM_0.3,AESM,MAM
40.0, 47.77, 46.25, 45.35
51.0, 37.59, 43.07, 44.75
49.0, 46.55, 47.27, 43.70
52.0, 48.39, 49.64, 46.50
46.0, 50.99, 50.76, 48.75
57.0, 49.93, 47.87, 49.85
51.0, 52.88, 52.09, 50.00
55.0, 50.96, 50.82, 49.20
48.0, 50.50, 50.10, 51.20
50.0, 49.62, 53.75, 49.55
53.0, 48.77, 48.00, 50.80
52.0, 48.63, 48.45, 48.85
50.0, 48.32, 47.89, 49.50
51.0, 49.30, 48.75, 48.40
47.0, 51.32, 49.84, 48.20
52.0, 49.34, 49.98, 49.45
48.0, 47.45, 48.32, 48.35
44.0, 50.36, 50.20, 49.50
50.0, 50.47, 50.63, 49.50
48.0, 52.20, 51.44, 50.40
49.0, 49.39, 49.20, 50.85
46.0, 46.71, 46.60, 48.55
45.0, 49.38, 49.08, 49.90
47.0, 48.38, 49.22, 48.80
36.0, 49.85, 48.94, 49.55
48.0, 53.03, 53.84, 52.05
45.0, 47.34, 47.24, 49.70
50.0, 49.69, 50.94, 49.55
56.0, 49.10, 49.19, 50.60
56.0, 49.05, 48.34, 49.80
51.0, 48.37, 47.99, 50.25
44.0, 51.59, 52.38, 51.25
51.0, 51.98, 50.84, 50.65
51.0, 52.75, 52.08, 52.05
50.0, 47.44, 47.65, 49.10
45.0, 49.26, 48.74, 48.95
47.0, 46.46, 46.49, 48.55
50.0, 49.57, 49.69, 50.05
44.0, 49.19, 48.15, 49.40
48.0, 51.70, 50.96, 50.15
47.0, 50.17, 51.17, 50.35
53.0, 49.98, 50.97, 50.50
51.0, 49.84, 50.33, 49.90
52.0, 49.11, 49.86, 48.95
48.0, 50.14, 50.77, 50.35
49.0, 51.28, 51.09, 49.25
51.0, 47.90, 48.94, 49.60
49.0, 51.29, 51.59, 50.20
46.0, 46.81, 47.55, 46.90
53.0, 49.06, 48.75, 48.45
47.0, 49.64, 50.08, 49.20
52.0, 51.66, 51.35, 49.70
47.0, 48.44, 46.68, 49.05
45.0, 49.54, 50.13, 49.25
52.0, 48.60, 49.00, 48.35
53.0, 49.26, 49.40, 50.75
45.0, 53.06, 52.04, 51.00
48.0, 49.83, 50.12, 51.25
48.0, 50.68, 48.53, 49.90
50.0, 50.05, 51.84, 52.10